epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,time_s
1,0.001,0.37068,0.24138,0.90061,0.48663,0.62547,0.07509,16.70
2,0.001,0.21945,0.22041,0.90235,0.48731,0.62506,0.06944,15.96
3,0.001,0.21052,0.23984,0.90310,0.49599,0.63149,0.07242,15.99
4,0.001,0.20177,0.29581,0.87293,0.43795,0.57084,0.09286,19.28
5,0.001,0.18419,0.18010,0.91618,0.53010,0.67254,0.05716,16.67
6,0.001,0.17479,0.20776,0.91233,0.53969,0.67320,0.06377,16.63
7,0.001,0.17414,0.22582,0.89611,0.45990,0.61199,0.07236,17.41
8,0.001,0.16590,0.20725,0.91091,0.51215,0.65789,0.06415,15.50
9,0.001,0.16116,0.18542,0.91574,0.52648,0.67504,0.05877,15.52
10,0.001,0.15550,0.18350,0.91834,0.55879,0.69529,0.05788,15.61
11,0.001,0.14771,0.33298,0.89190,0.49589,0.62709,0.08472,15.95
12,0.001,0.14881,0.22665,0.89374,0.47063,0.61283,0.07307,17.99
13,0.001,0.14585,0.27090,0.91072,0.53773,0.66778,0.07010,15.86
14,0.001,0.14139,0.23765,0.89453,0.46782,0.61241,0.07444,16.11
15,0.001,0.13730,0.26199,0.91085,0.54147,0.67144,0.06782,15.91
16,0.001,0.13737,0.17060,0.92332,0.57238,0.71177,0.05373,16.84
17,0.001,0.12618,0.19955,0.91837,0.57514,0.70832,0.05931,16.34
18,0.001,0.12279,0.25252,0.90205,0.51825,0.65381,0.07278,17.60
19,0.001,0.12176,0.22565,0.91084,0.54886,0.68340,0.06557,16.38
20,0.001,0.11826,0.22496,0.91543,0.52102,0.66850,0.06295,16.72
21,0.001,0.11845,0.27561,0.91088,0.53404,0.66169,0.06929,15.45
22,0.001,0.11506,0.21076,0.91198,0.52209,0.66373,0.06347,15.70
23,0.0005,0.11440,0.23020,0.91919,0.56158,0.69709,0.06112,17.31
24,0.0005,0.10613,0.21162,0.92268,0.57523,0.70934,0.05764,16.00
25,0.0005,0.10452,0.20318,0.92150,0.56455,0.70370,0.05733,16.36
26,0.0005,0.10321,0.23607,0.91888,0.57642,0.70476,0.06096,16.62
27,0.0005,0.10253,0.22580,0.91146,0.55024,0.68569,0.06460,16.63
28,0.0005,0.10403,0.21716,0.91820,0.56963,0.70244,0.06024,16.39
29,0.0005,0.10111,0.22543,0.92181,0.56915,0.70683,0.05870,15.32
30,0.0005,0.09899,0.19856,0.92302,0.57821,0.71311,0.05636,15.98
31,0.0005,0.10031,0.19695,0.92396,0.58756,0.72060,0.05575,16.09
32,0.0005,0.10236,0.23444,0.92226,0.55663,0.69734,0.05915,16.74
33,0.0005,0.09613,0.20270,0.92599,0.58676,0.72074,0.05441,17.08
34,0.0005,0.09886,0.21420,0.92167,0.58206,0.71351,0.05814,15.58
35,0.0005,0.09555,0.23910,0.91878,0.56949,0.69962,0.06149,15.95
36,0.0005,0.09649,0.23018,0.92261,0.58117,0.71382,0.05840,17.68
37,0.00025,0.09736,0.21166,0.92164,0.56443,0.70297,0.05801,15.14
38,0.00025,0.09412,0.19954,0.92528,0.58828,0.72179,0.05489,17.11
39,0.00025,0.09238,0.22018,0.92471,0.58578,0.71880,0.05646,16.01
40,0.00025,0.09077,0.20475,0.92494,0.58640,0.71998,0.05569,15.43
41,0.00025,0.09088,0.21378,0.92427,0.58181,0.71662,0.05633,15.32
42,0.00025,0.09344,0.22387,0.92236,0.58290,0.71451,0.05787,15.39
43,0.00025,0.09076,0.23976,0.92260,0.57912,0.71152,0.05881,15.75
44,0.000125,0.08985,0.21703,0.92394,0.58779,0.72069,0.05680,16.17
45,0.000125,0.08947,0.22170,0.92258,0.58464,0.71615,0.05773,15.94
46,0.000125,0.08957,0.22364,0.92378,0.58252,0.71631,0.05731,15.40
47,0.000125,0.08940,0.22549,0.92333,0.58414,0.71603,0.05761,15.49
48,0.000125,0.08902,0.21980,0.92400,0.58212,0.71636,0.05690,15.45
49,0.000125,0.09028,0.25300,0.92115,0.58204,0.71136,0.06084,15.34
50,6.25e-05,0.08877,0.23390,0.92226,0.58139,0.71304,0.05873,15.60
51,6.25e-05,0.08857,0.21974,0.92429,0.58485,0.71853,0.05679,16.49
52,6.25e-05,0.08831,0.23013,0.92269,0.58255,0.71475,0.05806,15.37
53,6.25e-05,0.08847,0.22539,0.92246,0.57995,0.71353,0.05798,15.72
