epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,time_s
1,0.001,0.77355,0.63290,0.82636,0.39972,0.56488,0.11748,16.79
2,0.001,0.58590,0.65012,0.85090,0.43637,0.59862,0.10556,17.55
3,0.001,0.55720,0.58155,0.84604,0.43486,0.59700,0.10416,17.82
4,0.001,0.52538,0.56304,0.81043,0.39764,0.55655,0.12039,18.63
5,0.001,0.49619,0.56993,0.84707,0.44244,0.59821,0.10697,18.57
6,0.001,0.44917,0.51199,0.87381,0.49338,0.65014,0.09136,18.72
7,0.001,0.43519,0.54407,0.80984,0.40520,0.56065,0.12137,16.72
8,0.001,0.41817,0.47313,0.88683,0.52186,0.67416,0.08005,15.83
9,0.001,0.41956,0.44180,0.85924,0.47896,0.63649,0.09174,16.47
10,0.001,0.39470,0.78422,0.82524,0.40521,0.56467,0.12751,15.84
11,0.001,0.40672,0.61397,0.88326,0.50760,0.65936,0.08485,15.95
12,0.001,0.37426,0.47775,0.85934,0.47434,0.63170,0.09705,15.37
13,0.001,0.36208,0.39689,0.88288,0.52340,0.67712,0.08081,15.73
14,0.001,0.35697,0.40133,0.88020,0.52974,0.67905,0.08249,15.81
15,0.001,0.34815,0.47996,0.86520,0.49280,0.64477,0.09363,16.35
16,0.001,0.33562,0.42265,0.89360,0.54932,0.69761,0.07493,15.62
17,0.001,0.32957,0.56084,0.90077,0.55627,0.70114,0.07124,16.48
18,0.001,0.32196,0.45105,0.89098,0.53956,0.69034,0.07742,16.20
19,0.001,0.31056,0.49850,0.88609,0.52627,0.67591,0.08061,20.33
20,0.001,0.30874,0.55296,0.90173,0.55216,0.70108,0.07172,58.83
21,0.001,0.30443,0.83295,0.86931,0.48381,0.63243,0.09926,23.11
22,0.001,0.29443,0.71820,0.81504,0.40983,0.55134,0.13667,18.13
23,0.0005,0.28905,0.58367,0.89889,0.55313,0.69863,0.07458,26.96
24,0.0005,0.26673,0.49659,0.90335,0.56442,0.70941,0.06966,18.83
25,0.0005,0.26270,0.67198,0.90354,0.56153,0.70450,0.07190,18.04
26,0.0005,0.25520,0.47095,0.89967,0.55694,0.70211,0.07325,17.11
27,0.0005,0.24920,0.52018,0.89837,0.55211,0.69881,0.07416,16.96
28,0.0005,0.26260,0.54855,0.89802,0.54372,0.69189,0.07526,16.69
29,0.0005,0.25760,0.73609,0.89826,0.54893,0.69250,0.07591,15.81
30,0.0005,0.25187,0.57231,0.90900,0.57463,0.71696,0.06706,15.99
31,0.0005,0.24855,0.46801,0.89055,0.53861,0.68431,0.08039,16.37
32,0.0005,0.24566,0.58530,0.89936,0.55084,0.69654,0.07402,16.03
33,0.0005,0.24638,0.65105,0.90299,0.55503,0.70033,0.07171,15.92
34,0.0005,0.24328,0.58295,0.90255,0.55852,0.70349,0.07231,16.79
35,0.0005,0.24404,0.71294,0.90315,0.55912,0.70216,0.07293,15.98
36,0.00025,0.23875,0.82044,0.89763,0.53275,0.68259,0.07851,15.75
37,0.00025,0.23201,0.63062,0.90840,0.57145,0.71402,0.06852,15.78
38,0.00025,0.22664,0.60985,0.90506,0.56464,0.70828,0.07022,15.36
39,0.00025,0.22765,0.57245,0.90248,0.56063,0.70387,0.07309,15.59
40,0.00025,0.22411,0.71672,0.90611,0.56670,0.70792,0.07041,15.75
41,0.00025,0.22374,0.61199,0.90587,0.56597,0.70945,0.06972,15.55
42,0.000125,0.22605,0.67487,0.90587,0.56264,0.70599,0.07043,15.57
43,0.000125,0.22515,0.65006,0.90451,0.56324,0.70589,0.07141,16.47
44,0.000125,0.21949,0.71785,0.90808,0.57187,0.71249,0.06953,15.36
45,0.000125,0.21712,0.58421,0.90353,0.56146,0.70493,0.07181,15.92
