epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.41028,0.25022,0.8913,0.4338,0.5832,0.07763,18.7
2,1.00e-03,0.22480,0.23430,0.8989,0.4645,0.6049,0.07286,19.9
3,1.00e-03,0.21739,0.23031,0.8984,0.4836,0.6200,0.07151,17.9
4,1.00e-03,0.21234,0.22239,0.8989,0.4713,0.6125,0.07058,16.7
5,1.00e-03,0.21486,0.22242,0.8989,0.4826,0.6204,0.07065,17.3
6,1.00e-03,0.21225,0.23956,0.8989,0.4817,0.6200,0.07370,17.0
7,1.00e-03,0.20727,0.22021,0.9005,0.4694,0.6118,0.06978,17.0
8,1.00e-03,0.20717,0.24346,0.8996,0.4783,0.6155,0.07389,17.0
9,1.00e-03,0.19923,0.20811,0.9087,0.4983,0.6430,0.06500,16.9
10,1.00e-03,0.18443,0.18635,0.9190,0.5496,0.6916,0.05787,17.7
11,1.00e-03,0.18212,0.22413,0.9062,0.5020,0.6428,0.06831,17.7
12,1.00e-03,0.18601,0.19207,0.9169,0.5376,0.6849,0.05984,17.2
13,1.00e-03,0.16191,0.17395,0.9218,0.5664,0.7107,0.05480,18.1
14,1.00e-03,0.15885,0.18467,0.9199,0.5585,0.7013,0.05719,17.4
15,1.00e-03,0.15925,0.17412,0.9222,0.5609,0.7082,0.05438,17.9
16,1.00e-03,0.15323,0.24219,0.8984,0.4980,0.6400,0.07244,17.1
17,1.00e-03,0.16003,0.17953,0.9227,0.5785,0.7173,0.05530,17.3
18,1.00e-03,0.14246,0.18884,0.9189,0.5590,0.7012,0.05798,20.2
19,1.00e-03,0.13447,0.18449,0.9233,0.5754,0.7155,0.05555,17.3
20,1.00e-03,0.13094,0.20384,0.9183,0.5581,0.6948,0.05997,16.8
21,1.00e-03,0.13265,0.17907,0.9238,0.5831,0.7203,0.05468,17.4
22,1.00e-03,0.12803,0.17518,0.9261,0.5959,0.7309,0.05324,19.3
23,1.00e-03,0.12587,0.15872,0.9328,0.6095,0.7461,0.04803,17.2
24,1.00e-03,0.12011,0.16473,0.9306,0.5987,0.7386,0.04984,17.0
25,1.00e-03,0.11806,0.17169,0.9304,0.6043,0.7423,0.05065,17.7
26,1.00e-03,0.12111,0.14636,0.9378,0.6374,0.7682,0.04439,19.3
27,1.00e-03,0.11206,0.14366,0.9378,0.6453,0.7749,0.04428,19.6
28,1.00e-03,0.11100,0.18019,0.9289,0.5898,0.7306,0.05207,19.2
29,1.00e-03,0.10721,0.14557,0.9389,0.6421,0.7721,0.04373,19.0
30,1.00e-03,0.10443,0.16631,0.9326,0.6196,0.7511,0.04875,20.5
31,1.00e-03,0.10670,0.15554,0.9353,0.6231,0.7579,0.04627,19.5
32,1.00e-03,0.10418,0.16281,0.9372,0.6420,0.7693,0.04609,20.7
33,5.00e-04,0.10231,0.18312,0.9277,0.5878,0.7295,0.05276,18.6
34,5.00e-04,0.09774,0.14528,0.9398,0.6509,0.7769,0.04317,19.1
35,5.00e-04,0.09810,0.15005,0.9387,0.6470,0.7743,0.04424,19.5
36,5.00e-04,0.09504,0.17352,0.9359,0.6279,0.7597,0.04706,18.7
37,5.00e-04,0.09372,0.16724,0.9379,0.6426,0.7692,0.04594,19.1
38,5.00e-04,0.09367,0.16651,0.9387,0.6481,0.7737,0.04524,19.0
39,5.00e-04,0.09417,0.14909,0.9399,0.6502,0.7773,0.04360,19.1
40,2.50e-04,0.09638,0.16711,0.9376,0.6449,0.7704,0.04614,18.6
41,2.50e-04,0.09340,0.15655,0.9410,0.6577,0.7815,0.04363,18.6
42,2.50e-04,0.09059,0.15427,0.9411,0.6608,0.7833,0.04302,18.5
43,2.50e-04,0.08957,0.16117,0.9404,0.6569,0.7800,0.04405,18.9
44,2.50e-04,0.08883,0.15833,0.9405,0.6583,0.7813,0.04368,18.2
45,2.50e-04,0.08934,0.16517,0.9394,0.6521,0.7774,0.04470,19.8
46,2.50e-04,0.09013,0.15961,0.9394,0.6540,0.7782,0.04456,18.7
47,2.50e-04,0.08912,0.16747,0.9390,0.6510,0.7755,0.04505,19.4
48,1.25e-04,0.09050,0.15780,0.9412,0.6602,0.7829,0.04319,18.6
49,1.25e-04,0.08999,0.17178,0.9395,0.6507,0.7752,0.04522,18.9
50,1.25e-04,0.08687,0.16437,0.9398,0.6522,0.7769,0.04453,18.3
51,1.25e-04,0.08630,0.16821,0.9393,0.6533,0.7772,0.04510,18.5
52,1.25e-04,0.08695,0.17820,0.9374,0.6420,0.7687,0.04680,19.0
53,1.25e-04,0.08919,0.17025,0.9389,0.6524,0.7763,0.04541,19.0
54,6.25e-05,0.08609,0.16762,0.9396,0.6526,0.7771,0.04487,18.7
55,6.25e-05,0.08585,0.16364,0.9400,0.6553,0.7791,0.04437,18.4
56,6.25e-05,0.08525,0.16763,0.9396,0.6534,0.7777,0.04474,19.3
57,6.25e-05,0.08572,0.16969,0.9392,0.6506,0.7755,0.04502,18.9
