epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.42423,0.24944,0.8917,0.4198,0.5729,0.07678,18.4
2,1.00e-03,0.22766,0.24152,0.8977,0.4820,0.6196,0.07437,18.2
3,1.00e-03,0.22229,0.23950,0.8985,0.4664,0.6081,0.07385,17.5
4,1.00e-03,0.21818,0.23531,0.8989,0.4670,0.6076,0.07257,17.3
5,1.00e-03,0.21339,0.22559,0.8987,0.4789,0.6167,0.07055,17.6
6,1.00e-03,0.21037,0.22044,0.8980,0.4889,0.6235,0.06979,17.6
7,1.00e-03,0.20867,0.24450,0.8980,0.4841,0.6199,0.07423,18.1
8,1.00e-03,0.20568,0.21447,0.8995,0.4853,0.6222,0.06898,18.4
9,1.00e-03,0.20207,0.20810,0.9044,0.5009,0.6427,0.06610,17.2
10,1.00e-03,0.19228,0.19842,0.9151,0.5294,0.6769,0.06107,18.9
11,1.00e-03,0.18069,0.20669,0.9091,0.5226,0.6658,0.06476,18.8
12,1.00e-03,0.17308,0.25232,0.9031,0.5051,0.6414,0.07345,18.2
13,1.00e-03,0.16822,0.25968,0.9027,0.5011,0.6387,0.07415,17.9
14,1.00e-03,0.15927,0.18410,0.9187,0.5502,0.6949,0.05753,18.1
15,1.00e-03,0.15085,0.20339,0.9131,0.5174,0.6667,0.06250,17.9
16,1.00e-03,0.14296,0.19908,0.9137,0.5325,0.6796,0.06148,17.8
17,1.00e-03,0.13850,0.19681,0.9210,0.5718,0.7115,0.05772,17.1
18,1.00e-03,0.14246,0.17109,0.9252,0.5774,0.7204,0.05309,17.5
19,1.00e-03,0.13101,0.18847,0.9254,0.5878,0.7254,0.05495,18.0
20,1.00e-03,0.13198,0.16888,0.9241,0.5822,0.7231,0.05311,17.9
21,1.00e-03,0.13000,0.22289,0.9149,0.5544,0.6964,0.06223,17.4
22,1.00e-03,0.13241,0.27081,0.9102,0.5329,0.6685,0.06863,17.4
23,1.00e-03,0.12928,0.19757,0.9211,0.5742,0.7115,0.05770,17.2
24,1.00e-03,0.12106,0.18775,0.9284,0.5859,0.7262,0.05286,17.8
25,1.00e-03,0.12466,0.20359,0.9259,0.5949,0.7286,0.05556,17.1
26,1.00e-03,0.11621,0.16927,0.9316,0.6039,0.7425,0.04980,18.2
27,1.00e-03,0.12905,0.15155,0.9343,0.6235,0.7580,0.04663,17.7
28,1.00e-03,0.12875,0.16100,0.9299,0.6074,0.7437,0.04978,17.5
29,1.00e-03,0.12060,0.15833,0.9336,0.6135,0.7508,0.04817,17.1
30,1.00e-03,0.11263,0.17711,0.9297,0.6063,0.7428,0.05130,17.5
31,1.00e-03,0.11052,0.16250,0.9366,0.6332,0.7642,0.04644,18.4
32,1.00e-03,0.11108,0.16577,0.9343,0.6159,0.7520,0.04809,18.5
33,1.00e-03,0.10727,0.14876,0.9381,0.6388,0.7694,0.04452,17.3
34,1.00e-03,0.10346,0.17142,0.9331,0.6264,0.7579,0.04905,17.7
35,1.00e-03,0.10154,0.14621,0.9395,0.6480,0.7762,0.04356,18.4
36,1.00e-03,0.11103,0.15539,0.9354,0.6260,0.7591,0.04639,18.6
37,1.00e-03,0.10378,0.21160,0.9271,0.6009,0.7332,0.05520,18.5
38,1.00e-03,0.10090,0.15910,0.9358,0.6324,0.7634,0.04652,18.2
39,1.00e-03,0.11028,0.15285,0.9371,0.6412,0.7674,0.04555,17.4
40,1.00e-03,0.10230,0.15875,0.9374,0.6452,0.7709,0.04572,17.2
41,5.00e-04,0.09704,0.16395,0.9358,0.6413,0.7685,0.04720,17.8
42,5.00e-04,0.09736,0.16832,0.9373,0.6414,0.7681,0.04649,17.6
43,5.00e-04,0.09250,0.16373,0.9384,0.6472,0.7725,0.04536,17.5
44,5.00e-04,0.09275,0.17044,0.9375,0.6447,0.7711,0.04649,18.4
45,5.00e-04,0.09310,0.16378,0.9367,0.6473,0.7721,0.04648,17.5
46,5.00e-04,0.09434,0.17025,0.9381,0.6403,0.7679,0.04649,17.8
47,2.50e-04,0.09148,0.16883,0.9381,0.6413,0.7684,0.04620,16.9
48,2.50e-04,0.08960,0.16113,0.9396,0.6523,0.7768,0.04475,17.5
49,2.50e-04,0.08895,0.16430,0.9393,0.6485,0.7742,0.04506,17.9
50,2.50e-04,0.08837,0.16717,0.9390,0.6461,0.7724,0.04538,17.7
51,2.50e-04,0.08874,0.17430,0.9379,0.6457,0.7718,0.04646,17.5
52,2.50e-04,0.08831,0.17642,0.9378,0.6429,0.7694,0.04655,17.8
53,2.50e-04,0.08793,0.17138,0.9382,0.6425,0.7703,0.04600,17.5
54,1.25e-04,0.08721,0.18651,0.9366,0.6372,0.7646,0.04797,17.8
55,1.25e-04,0.08656,0.17755,0.9379,0.6460,0.7710,0.04664,17.4
56,1.25e-04,0.08741,0.17732,0.9374,0.6402,0.7674,0.04679,17.3
57,1.25e-04,0.08564,0.18111,0.9369,0.6406,0.7674,0.04731,17.2
58,1.25e-04,0.08623,0.17843,0.9377,0.6424,0.7687,0.04675,17.5
59,1.25e-04,0.08590,0.18091,0.9376,0.6414,0.7682,0.04697,17.6
60,6.25e-05,0.08614,0.16540,0.9397,0.6504,0.7763,0.04469,18.2
61,6.25e-05,0.08579,0.17994,0.9376,0.6423,0.7691,0.04707,17.3
62,6.25e-05,0.08614,0.18568,0.9362,0.6394,0.7664,0.04820,19.4
63,6.25e-05,0.08584,0.18310,0.9368,0.6400,0.7671,0.04768,17.7
