epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.39188,0.24441,0.8953,0.4668,0.6079,0.07597,12.2
2,1.00e-03,0.21856,0.24187,0.8984,0.4816,0.6198,0.07436,17.4
3,1.00e-03,0.20508,0.21869,0.9020,0.4929,0.6339,0.06910,14.7
4,1.00e-03,0.19419,0.22734,0.9059,0.5099,0.6497,0.06868,16.7
5,1.00e-03,0.16148,0.29862,0.9019,0.5061,0.6403,0.07639,14.2
6,1.00e-03,0.14644,0.24893,0.9060,0.5241,0.6569,0.07023,13.1
7,1.00e-03,0.13689,0.27182,0.9109,0.5261,0.6645,0.06948,13.1
8,1.00e-03,0.13037,0.17467,0.9226,0.5626,0.7066,0.05487,13.5
9,1.00e-03,0.13507,0.16303,0.9264,0.5929,0.7314,0.05129,13.4
10,1.00e-03,0.14395,0.16665,0.9267,0.5768,0.7208,0.05227,13.4
11,1.00e-03,0.12720,0.16705,0.9225,0.5734,0.7107,0.05336,13.7
12,1.00e-03,0.11787,0.17461,0.9258,0.5935,0.7322,0.05342,13.0
13,1.00e-03,0.11746,0.17136,0.9266,0.5875,0.7301,0.05299,13.2
14,1.00e-03,0.12127,0.21225,0.9153,0.5342,0.6838,0.06253,14.3
15,1.00e-03,0.13881,0.17062,0.9247,0.5850,0.7234,0.05338,13.9
16,1.00e-03,0.12233,0.16823,0.9296,0.6021,0.7383,0.05090,14.2
17,1.00e-03,0.12315,0.14674,0.9349,0.6263,0.7607,0.04580,13.8
18,1.00e-03,0.10935,0.14878,0.9344,0.6178,0.7544,0.04658,14.3
19,1.00e-03,0.10647,0.19003,0.9291,0.6024,0.7395,0.05287,13.0
20,1.00e-03,0.11376,0.16961,0.9295,0.6124,0.7448,0.05109,12.8
21,1.00e-03,0.10526,0.15443,0.9357,0.6278,0.7612,0.04669,13.5
22,1.00e-03,0.10112,0.17630,0.9315,0.6158,0.7508,0.05045,14.5
23,1.00e-03,0.10298,0.19889,0.9289,0.6081,0.7405,0.05368,15.6
24,1.00e-03,0.10018,0.15613,0.9334,0.6272,0.7592,0.04792,14.9
25,1.00e-03,0.10482,0.21450,0.9206,0.5794,0.7132,0.05906,14.7
26,1.00e-03,0.09821,0.17123,0.9339,0.6250,0.7567,0.04871,13.9
27,1.00e-03,0.09369,0.16379,0.9333,0.6279,0.7604,0.04808,13.8
28,1.00e-03,0.09528,0.16604,0.9324,0.6240,0.7571,0.04911,13.7
29,1.00e-03,0.09771,0.21216,0.9254,0.5949,0.7274,0.05647,13.6
30,1.00e-03,0.09386,0.22688,0.9255,0.5908,0.7238,0.05703,13.9
31,1.00e-03,0.10814,0.20031,0.9248,0.5861,0.7222,0.05654,14.3
32,1.00e-03,0.10350,0.14562,0.9380,0.6418,0.7732,0.04447,14.4
33,1.00e-03,0.09682,0.16718,0.9265,0.6138,0.7498,0.05226,13.7
34,1.00e-03,0.09483,0.14475,0.9374,0.6484,0.7765,0.04465,13.4
35,1.00e-03,0.08951,0.18894,0.9323,0.6232,0.7529,0.05129,13.4
36,1.00e-03,0.09037,0.17422,0.9324,0.6232,0.7542,0.05005,14.6
37,1.00e-03,0.09070,0.15663,0.9377,0.6400,0.7688,0.04535,14.0
38,1.00e-03,0.09056,0.16748,0.9344,0.6328,0.7636,0.04792,13.6
39,1.00e-03,0.08918,0.17157,0.9345,0.6230,0.7562,0.04842,13.9
40,5.00e-04,0.08921,0.16222,0.9359,0.6382,0.7675,0.04691,13.6
41,5.00e-04,0.08798,0.18194,0.9339,0.6292,0.7579,0.04959,15.1
42,5.00e-04,0.08461,0.19565,0.9331,0.6241,0.7538,0.05065,13.8
43,5.00e-04,0.08332,0.17379,0.9358,0.6358,0.7642,0.04737,14.0
44,5.00e-04,0.08404,0.18152,0.9352,0.6328,0.7615,0.04852,13.8
45,5.00e-04,0.08261,0.19784,0.9335,0.6268,0.7562,0.05081,13.7
46,2.50e-04,0.08128,0.17586,0.9360,0.6346,0.7632,0.04753,14.0
47,2.50e-04,0.08184,0.18586,0.9334,0.6324,0.7609,0.04981,15.1
48,2.50e-04,0.08010,0.18385,0.9352,0.6351,0.7626,0.04861,12.9
49,2.50e-04,0.08012,0.18747,0.9348,0.6349,0.7622,0.04889,13.9
