epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.37086,0.28912,0.8940,0.4794,0.6141,0.08266,18.5
2,1.00e-03,0.16799,0.35867,0.8937,0.4749,0.6094,0.08524,17.8
3,1.00e-03,0.13881,0.35304,0.8933,0.4713,0.6060,0.08503,17.3
4,1.00e-03,0.12773,0.41160,0.8937,0.4695,0.6048,0.08675,17.6
5,1.00e-03,0.11734,0.39281,0.8960,0.4628,0.6013,0.08489,17.7
6,1.00e-03,0.10931,0.35694,0.9007,0.4718,0.6129,0.07909,18.8
7,5.00e-04,0.10547,0.51308,0.8847,0.4637,0.5908,0.09473,17.7
8,5.00e-04,0.09954,0.35151,0.9061,0.5091,0.6491,0.07479,18.9
9,5.00e-04,0.09632,0.34372,0.9076,0.5113,0.6553,0.07318,21.5
10,5.00e-04,0.09406,0.34146,0.9072,0.5095,0.6543,0.07338,19.4
11,5.00e-04,0.09264,0.37524,0.9046,0.4987,0.6448,0.07652,17.7
12,5.00e-04,0.08971,0.35505,0.9092,0.5218,0.6662,0.07280,17.4
13,5.00e-04,0.08871,0.32195,0.9134,0.5480,0.6848,0.06860,18.2
14,5.00e-04,0.08616,0.38323,0.8949,0.4861,0.6259,0.08399,17.3
15,5.00e-04,0.08532,0.31863,0.9088,0.5373,0.6764,0.07201,17.3
16,5.00e-04,0.08457,0.39572,0.9108,0.5422,0.6743,0.07261,17.8
17,5.00e-04,0.08289,0.35768,0.9136,0.5430,0.6814,0.06951,17.3
18,5.00e-04,0.08202,0.32419,0.9175,0.5650,0.7010,0.06586,19.1
19,5.00e-04,0.07946,0.39448,0.9110,0.5306,0.6718,0.07278,18.4
20,5.00e-04,0.07908,0.33150,0.9167,0.5569,0.6949,0.06666,17.0
21,5.00e-04,0.07762,0.35562,0.9166,0.5584,0.6922,0.06754,17.5
22,5.00e-04,0.07668,0.29803,0.9189,0.5748,0.7103,0.06425,18.2
23,5.00e-04,0.07848,0.30298,0.9161,0.5672,0.7042,0.06660,17.8
24,5.00e-04,0.07475,0.29742,0.9195,0.5751,0.7102,0.06402,17.6
25,5.00e-04,0.07382,0.30259,0.9132,0.5661,0.7036,0.06860,18.3
26,5.00e-04,0.07261,0.30593,0.9238,0.5967,0.7272,0.06115,17.4
27,5.00e-04,0.07162,0.30630,0.9222,0.5739,0.7123,0.06207,19.7
28,5.00e-04,0.07178,0.30955,0.9231,0.5836,0.7185,0.06187,18.8
29,5.00e-04,0.07044,0.26788,0.9286,0.6134,0.7410,0.05644,865.9
30,5.00e-04,0.07045,0.44314,0.9101,0.5352,0.6682,0.07491,23.1
31,5.00e-04,0.07139,0.28521,0.9232,0.5931,0.7231,0.06089,21.4
32,5.00e-04,0.06938,0.25203,0.9303,0.6182,0.7462,0.05467,19.8
33,5.00e-04,0.06730,0.26638,0.9271,0.6120,0.7391,0.05736,19.7
34,5.00e-04,0.06723,0.29960,0.9266,0.6076,0.7338,0.05886,20.5
35,5.00e-04,0.06900,0.30992,0.9181,0.5800,0.7181,0.06555,20.3
36,5.00e-04,0.06628,0.29235,0.9210,0.5708,0.7114,0.06262,18.3
37,5.00e-04,0.06641,0.23486,0.9309,0.6272,0.7513,0.05405,17.7
38,5.00e-04,0.06550,0.27550,0.9286,0.6206,0.7453,0.05681,17.9
