epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.36480,0.29790,0.8937,0.4689,0.6042,0.08273,18.7
2,1.00e-03,0.17181,0.40308,0.8949,0.4721,0.6093,0.08594,19.4
3,1.00e-03,0.14007,0.39170,0.8942,0.4692,0.6047,0.08609,19.4
4,1.00e-03,0.12798,0.46235,0.8928,0.4614,0.5961,0.08952,17.5
5,1.00e-03,0.11739,0.40778,0.8949,0.4506,0.5915,0.08541,17.9
6,1.00e-03,0.10921,0.42615,0.8926,0.4580,0.5915,0.08641,18.1
7,1.00e-03,0.10448,0.51573,0.8917,0.4657,0.5965,0.08964,17.7
8,1.00e-03,0.09882,0.36108,0.9077,0.5236,0.6624,0.07370,17.9
9,1.00e-03,0.09540,0.38962,0.8854,0.4733,0.6103,0.09075,18.1
10,1.00e-03,0.09168,0.48221,0.8926,0.4521,0.5965,0.08758,19.3
11,1.00e-03,0.08959,0.44780,0.9060,0.5212,0.6541,0.07759,18.2
12,1.00e-03,0.08463,0.54994,0.8768,0.4296,0.5686,0.10228,18.3
13,1.00e-03,0.08366,0.31238,0.9167,0.5537,0.6928,0.06599,18.5
14,1.00e-03,0.08135,0.38783,0.9143,0.5494,0.6827,0.07008,18.4
15,1.00e-03,0.07716,0.32347,0.9129,0.5334,0.6753,0.06976,18.1
16,1.00e-03,0.07839,0.35060,0.9153,0.5551,0.6865,0.06851,17.9
17,1.00e-03,0.07451,0.23469,0.9274,0.6084,0.7405,0.05661,1962.5
18,1.00e-03,0.07328,0.22654,0.9269,0.6111,0.7431,0.05659,26.0
19,1.00e-03,0.07142,0.31147,0.9154,0.5612,0.6965,0.06742,21.1
20,1.00e-03,0.07506,0.36923,0.9141,0.5533,0.6835,0.07052,18.7
21,1.00e-03,0.07060,0.26043,0.9288,0.6074,0.7413,0.05647,18.8
22,1.00e-03,0.06795,0.41733,0.9001,0.5035,0.6418,0.08171,18.5
23,1.00e-03,0.06956,0.33308,0.9192,0.5592,0.6940,0.06534,18.6
24,1.00e-03,0.06748,0.21120,0.9356,0.6332,0.7623,0.05002,18.7
25,1.00e-03,0.06506,0.27393,0.9276,0.6138,0.7401,0.05800,18.8
26,1.00e-03,0.06606,0.28947,0.9272,0.5983,0.7294,0.05858,17.3
27,1.00e-03,0.06409,0.28477,0.9281,0.5981,0.7320,0.05786,17.9
28,1.00e-03,0.06216,0.32653,0.9177,0.5629,0.7030,0.06684,19.2
29,1.00e-03,0.06669,0.49982,0.9026,0.5023,0.6332,0.08224,17.4
30,1.00e-03,0.06349,0.24165,0.9346,0.6403,0.7656,0.05217,18.2
31,1.00e-03,0.06104,0.21017,0.9368,0.6482,0.7730,0.04957,18.6
32,1.00e-03,0.06003,0.22830,0.9335,0.6213,0.7530,0.05242,17.4
33,1.00e-03,0.05952,0.28677,0.9301,0.6080,0.7366,0.05636,17.5
34,1.00e-03,0.05916,0.25169,0.9318,0.6321,0.7557,0.05458,2773.5
35,1.00e-03,0.05932,0.26126,0.9270,0.5945,0.7307,0.05807,25.1
36,1.00e-03,0.05933,0.25884,0.9331,0.6289,0.7544,0.05361,21.2
37,5.00e-04,0.05711,0.23064,0.9350,0.6381,0.7627,0.05156,18.8
38,5.00e-04,0.05523,0.30232,0.9291,0.6137,0.7404,0.05790,19.3
39,5.00e-04,0.05432,0.21925,0.9371,0.6516,0.7737,0.04974,19.0
40,5.00e-04,0.05406,0.28540,0.9320,0.6253,0.7503,0.05523,19.1
41,5.00e-04,0.05378,0.23767,0.9336,0.6285,0.7562,0.05269,19.8
42,5.00e-04,0.05474,0.25466,0.9347,0.6412,0.7632,0.05264,18.5
43,5.00e-04,0.05308,0.31054,0.9298,0.6191,0.7417,0.05738,18.2
44,5.00e-04,0.05268,0.23629,0.9362,0.6419,0.7653,0.05088,18.5
45,2.50e-04,0.05280,0.23704,0.9362,0.6492,0.7723,0.05103,17.7
46,2.50e-04,0.05293,0.28605,0.9321,0.6273,0.7516,0.05510,18.1
47,2.50e-04,0.05178,0.29777,0.9306,0.6157,0.7414,0.05650,17.8
48,2.50e-04,0.05152,0.25951,0.9342,0.6376,0.7598,0.05296,18.3
49,2.50e-04,0.05144,0.25828,0.9349,0.6365,0.7610,0.05247,18.2
50,2.50e-04,0.05117,0.30604,0.9300,0.6150,0.7390,0.05707,18.0
51,1.25e-04,0.05163,0.29602,0.9310,0.6215,0.7461,0.05626,20.2
52,1.25e-04,0.05094,0.31038,0.9295,0.6218,0.7438,0.05771,17.6
53,1.25e-04,0.05052,0.28837,0.9327,0.6295,0.7520,0.05458,17.8
54,1.25e-04,0.05035,0.29233,0.9321,0.6291,0.7526,0.05524,18.0
