epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.37900,0.30770,0.8949,0.4720,0.6093,0.08380,19.2
2,1.00e-03,0.17627,0.36034,0.8935,0.4805,0.6141,0.08531,18.8
3,1.00e-03,0.14030,0.37674,0.8946,0.4613,0.5999,0.08458,18.2
4,1.00e-03,0.12790,0.42645,0.8947,0.4550,0.5926,0.08698,17.5
5,1.00e-03,0.11704,0.44015,0.8902,0.4503,0.5823,0.08942,18.9
6,1.00e-03,0.10995,0.47282,0.8787,0.4277,0.5581,0.09746,18.7
7,1.00e-03,0.10433,0.44781,0.8943,0.4672,0.6004,0.08602,18.4
8,5.00e-04,0.09936,0.49960,0.8855,0.4475,0.5793,0.09395,17.9
9,5.00e-04,0.09568,0.39564,0.9022,0.4836,0.6278,0.07843,18.5
10,5.00e-04,0.09316,0.39860,0.8950,0.4634,0.6101,0.08379,18.3
11,5.00e-04,0.09117,0.45447,0.8858,0.4290,0.5761,0.09249,18.2
12,5.00e-04,0.09194,0.43273,0.9041,0.5048,0.6406,0.07879,19.2
13,5.00e-04,0.08823,0.39318,0.9080,0.5164,0.6523,0.07466,19.0
14,5.00e-04,0.08623,0.44129,0.9008,0.5007,0.6324,0.08170,19.9
15,5.00e-04,0.08439,0.38283,0.9071,0.5209,0.6570,0.07529,19.6
16,5.00e-04,0.08326,0.41894,0.9089,0.5266,0.6634,0.07463,20.3
17,5.00e-04,0.08118,0.37758,0.9089,0.5304,0.6660,0.07379,20.9
18,5.00e-04,0.08046,0.44787,0.9068,0.5019,0.6439,0.07690,21.8
19,5.00e-04,0.07887,0.37563,0.9084,0.5064,0.6534,0.07389,20.0
20,5.00e-04,0.07756,0.53291,0.8993,0.4850,0.6166,0.08426,19.8
21,5.00e-04,0.07704,0.40360,0.9116,0.5345,0.6709,0.07237,19.9
22,5.00e-04,0.07508,0.45729,0.9037,0.5146,0.6452,0.08015,20.5
23,5.00e-04,0.07427,0.38842,0.9100,0.5209,0.6639,0.07320,20.4
24,5.00e-04,0.07333,0.48192,0.9062,0.5165,0.6496,0.07789,20.2
25,5.00e-04,0.07617,0.44264,0.9063,0.5079,0.6459,0.07740,20.0
26,5.00e-04,0.07267,0.46435,0.9049,0.5066,0.6409,0.07904,20.0
27,5.00e-04,0.07160,0.36406,0.9143,0.5399,0.6773,0.06944,19.9
28,5.00e-04,0.07108,0.47925,0.9064,0.4962,0.6364,0.07746,20.0
29,5.00e-04,0.07031,0.45271,0.9091,0.5149,0.6525,0.07524,21.0
30,5.00e-04,0.06833,0.44892,0.9100,0.5243,0.6658,0.07501,20.5
31,5.00e-04,0.06871,0.48387,0.9080,0.5089,0.6472,0.07677,20.9
32,5.00e-04,0.06701,0.47250,0.9096,0.5239,0.6559,0.07536,19.8
33,2.50e-04,0.06617,0.45051,0.9105,0.5255,0.6602,0.07456,22.2
34,2.50e-04,0.06527,0.44960,0.9105,0.5230,0.6592,0.07440,19.9
35,2.50e-04,0.06475,0.47616,0.9093,0.5268,0.6587,0.07581,19.7
36,2.50e-04,0.06468,0.42292,0.9117,0.5210,0.6597,0.07254,19.8
37,2.50e-04,0.06396,0.41345,0.9117,0.5199,0.6586,0.07252,20.2
38,2.50e-04,0.06459,0.43810,0.9113,0.5235,0.6605,0.07339,19.7
39,1.25e-04,0.06397,0.44694,0.9101,0.5133,0.6531,0.07437,19.8
40,1.25e-04,0.06297,0.46187,0.9105,0.5211,0.6583,0.07441,20.2
41,1.25e-04,0.06227,0.43577,0.9123,0.5251,0.6628,0.07241,18.5
42,1.25e-04,0.06220,0.46727,0.9100,0.5191,0.6553,0.07492,17.9
